Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
0.417753203571562,0.5272163346894879,0.6842071132651054,0.23689484760955992,0.818054455131022,0.966165345720544,0.4160467000589275,0.48239351432316313,0.8216301526919016,0.9344571774680817,0.5257733336030084,0.10333324539555327,0.6488223375068961,0.07045910944179123,0.0835983197116755,0.9076899605268378,1.0
0.6184854485000186,0.6745917504531078,0.7619488719950069,0.530185564136147,0.6554144100070628,0.9226601014906316,0.6448143783146729,0.6752546506078679,0.31574754055012166,0.6112767724094877,0.5607282145292598,0.19184163738442217,0.3808386565302532,0.08285823830015206,0.1588196123983451,0.48576468625330105,1.0
0.24057608248963275,0.22473234509693155,0.22450414489815712,0.5343548492341164,0.17168828635103708,0.5695981326912511,0.23729375368296995,0.29434777943649915,0.7611265766810089,0.9723363160732211,0.9330460791372048,0.7146369867256824,0.33040970768286565,0.5665990827660751,0.6712012162108117,0.9904749972554482,0.0
0.4996824448014346,0.5789258315725057,0.6448038560173095,0.47914758758166504,0.5847309048121427,0.8978559844042592,0.5199985268120212,0.5633636075973997,0.738873744642211,0.6537297017286039,0.5632366279064808,0.24200273861186075,0.4354964195012464,0.12914773243488573,0.20293194118887045,0.41486697346225093,1.0
0.40830126648485077,0.47563358120721294,0.5992586308489596,0.31874852995154995,0.6599440074689417,0.9241063140183067,0.40777843252799056,0.4728307287882228,0.2775650102074435,0.9182473229402446,0.6265340077691631,0.2129128730823199,0.5497355654062821,0.13084888192731434,0.17721937702186152,0.9365091807859472,1.0
0.1292823252512422,0.1314872251705153,0.14538245426378277,0.3944878811351065,0.16479085967362309,0.5581503707025482,0.1274675898644667,0.1649392965014073,0.660218456670623,0.9570349270334638,0.9099183320958386,0.7245827160409201,0.4632411775222847,0.64383262025619,0.6820773736018844,0.9916848130081604,0.0
0.15588224306048493,0.17823924446448197,0.15215278361650797,0.4587235812626347,0.14057308891787093,0.5144042921531947,0.1549241308190925,0.1968043859035719,0.637653155702305,0.9377886524658935,0.8351342201617734,0.7569241025812772,0.40417939470779995,0.6599504078500603,0.7177356071095747,0.9442891565153082,0.0
0.29975342772817276,0.2830687112187829,0.24518620978145414,0.6438335247293031,0.14149044375449354,0.5161716809751322,0.29670005892751916,0.3593528807978012,0.7634134945431542,0.9626229395335469,0.9067888663070555,0.7576476656645079,0.24020773173850019,0.5773562779202929,0.7185384726627042,0.9751448816000491,0.0
0.5576082489632757,0.6369290436124042,0.7641701628991822,0.3911396859367824,0.7636816513698033,0.9533480172096612,0.5540475839717148,0.618682325767839,0.23564509262293679,0.9510594107512841,0.5393512066954435,0.13422637550549765,0.48302543619907584,0.0634300199587386,0.10947458776299296,0.8247156899073701,1.0
0.17362797474502187,0.1678480962235902,0.18246660351940794,0.4441286732970401,0.17579979596097464,0.5762297825267267,0.17055833824395994,0.21772032950741926,0.720691096716296,0.9763805084549837,0.9255307696227599,0.7075210503486775,0.41572130128994145,0.5977308071106963,0.6634454397021382,0.9711118419355803,0.0
0.38343856240893637,0.469222175749642,0.5963352728982754,0.2855785996539514,0.6839162461573661,0.9315036704436088,0.38109531526222745,0.44744405798830467,0.2544813040538401,0.945442530359441,0.5911290282212642,0.18975363989148966,0.5984746305853228,0.12297028358173112,0.15700663671061113,0.8315356367402991,1.0
0.4238988306496806,0.5725868509153591,0.6882132378878285,0.24370034866661494,0.8159454453888421,0.9656955457874266,0.42435179728933414,0.48858566286316046,0.1052109782673253,0.9042594459940774,0.44035277233879894,0.10431448415077377,0.6411982806705634,0.0698947191887693,0.08441395960126985,0.900842337248961,1.0
0.16921956140023162,0.29402296228297453,0.37896189665267327,0.13428555265477524,0.5767929500159582,0.8947812103804857,0.1730627578078963,0.2125492120123698,0.7924435928901873,0.8465441800433493,0.5336644202558801,0.26864010838425234,0.7986052843486855,0.22986180838908007,0.2267929135022888,0.7773343013664479,1.0
0.15795569170994134,0.16100033134346223,0.15615592265794684,0.45494611249036665,0.1460550900569747,0.5248292564350111,0.15621317030053034,0.19926209101084427,0.6871331585879678,0.9527535111515189,0.8997894209125614,0.749732442592815,0.40644482799295883,0.6509987203176937,0.709767865923639,0.9587096415262023,0.0
